timestamp,batch_id,equipment_id,product,moisture_pct,status,gmp_max_moisture_pct
2026-05-12T20:30:00,BATCH-1001,GRAN-01,Metformin_500mg,2.28,NORMAL,4.0
2026-05-12T20:40:00,BATCH-1001,GRAN-01,Metformin_500mg,3.53,NORMAL,4.0
2026-05-12T20:50:00,BATCH-1001,GRAN-01,Metformin_500mg,2.13,NORMAL,4.0
2026-05-12T21:00:00,BATCH-1001,GRAN-01,Metformin_500mg,2.43,NORMAL,4.0
2026-05-12T21:10:00,BATCH-1001,GRAN-01,Metformin_500mg,2.09,NORMAL,4.0
2026-05-12T21:20:00,BATCH-1001,GRAN-01,Metformin_500mg,3.16,NORMAL,4.0
2026-05-12T21:30:00,BATCH-1001,GRAN-01,Metformin_500mg,2.42,NORMAL,4.0
2026-05-12T21:40:00,BATCH-1001,GRAN-01,Metformin_500mg,3.44,NORMAL,4.0
2026-05-12T21:50:00,BATCH-1001,GRAN-01,Metformin_500mg,3.54,NORMAL,4.0
2026-05-12T22:00:00,BATCH-1001,GRAN-01,Metformin_500mg,2.21,NORMAL,4.0
2026-05-12T22:10:00,BATCH-1001,GRAN-01,Metformin_500mg,3.18,NORMAL,4.0
2026-05-12T22:20:00,BATCH-1001,GRAN-01,Metformin_500mg,2.74,NORMAL,4.0
2026-05-12T21:30:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.0,NORMAL,3.5
2026-05-12T21:40:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.79,NORMAL,3.5
2026-05-12T21:50:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.4,NORMAL,3.5
2026-05-12T22:00:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.27,NORMAL,3.5
2026-05-12T22:10:00,BATCH-1002,GRAN-02,Amlodipine_5mg,3.24,NORMAL,3.5
2026-05-12T22:20:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.07,NORMAL,3.5
2026-05-12T22:30:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.59,NORMAL,3.5
2026-05-12T22:40:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.81,NORMAL,3.5
2026-05-12T22:50:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.85,NORMAL,3.5
2026-05-12T23:00:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.15,NORMAL,3.5
2026-05-12T23:10:00,BATCH-1002,GRAN-02,Amlodipine_5mg,2.29,NORMAL,3.5
2026-05-12T23:20:00,BATCH-1002,GRAN-02,Amlodipine_5mg,3.08,NORMAL,3.5
2026-05-13T22:30:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.47,NORMAL,3.8
2026-05-13T22:40:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,3.12,NORMAL,3.8
2026-05-13T22:50:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.26,NORMAL,3.8
2026-05-13T23:00:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,3.15,NORMAL,3.8
2026-05-13T23:10:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.17,NORMAL,3.8
2026-05-13T23:20:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.3,NORMAL,3.8
2026-05-13T23:30:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.63,NORMAL,3.8
2026-05-13T23:40:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,3.25,NORMAL,3.8
2026-05-13T23:50:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.17,NORMAL,3.8
2026-05-14T00:00:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,3.48,NORMAL,3.8
2026-05-14T00:10:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.94,NORMAL,3.8
2026-05-14T00:20:00,BATCH-1003,GRAN-02,Atorvastatin_10mg,2.72,NORMAL,3.8
2026-05-13T23:30:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.91,NORMAL,4.2
2026-05-13T23:40:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.0,NORMAL,4.2
2026-05-13T23:50:00,BATCH-1004,GRAN-01,Paracetamol_500mg,2.1,NORMAL,4.2
2026-05-14T00:00:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.68,NORMAL,4.2
2026-05-14T00:10:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.02,NORMAL,4.2
2026-05-14T00:20:00,BATCH-1004,GRAN-01,Paracetamol_500mg,2.35,NORMAL,4.2
2026-05-14T00:30:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.46,NORMAL,4.2
2026-05-14T00:40:00,BATCH-1004,GRAN-01,Paracetamol_500mg,2.77,NORMAL,4.2
2026-05-14T00:50:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.77,NORMAL,4.2
2026-05-14T01:00:00,BATCH-1004,GRAN-01,Paracetamol_500mg,2.77,NORMAL,4.2
2026-05-14T01:10:00,BATCH-1004,GRAN-01,Paracetamol_500mg,3.83,NORMAL,4.2
2026-05-14T01:20:00,BATCH-1004,GRAN-01,Paracetamol_500mg,2.55,NORMAL,4.2
2026-05-15T00:30:00,BATCH-1005,GRAN-02,Azithromycin_250mg,3.26,NORMAL,3.5
2026-05-15T00:40:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.17,NORMAL,3.5
2026-05-15T00:50:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.91,NORMAL,3.5
2026-05-15T01:00:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.39,NORMAL,3.5
2026-05-15T01:10:00,BATCH-1005,GRAN-02,Azithromycin_250mg,3.12,NORMAL,3.5
2026-05-15T01:20:00,BATCH-1005,GRAN-02,Azithromycin_250mg,3.22,NORMAL,3.5
2026-05-15T01:30:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.26,NORMAL,3.5
2026-05-15T01:40:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.38,NORMAL,3.5
2026-05-15T01:50:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.87,NORMAL,3.5
2026-05-15T02:00:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.85,NORMAL,3.5
2026-05-15T02:10:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.66,NORMAL,3.5
2026-05-15T02:20:00,BATCH-1005,GRAN-02,Azithromycin_250mg,2.42,NORMAL,3.5
2026-05-16T01:30:00,BATCH-1006,GRAN-02,Metformin_500mg,2.63,NORMAL,4.0
2026-05-16T01:40:00,BATCH-1006,GRAN-02,Metformin_500mg,3.03,NORMAL,4.0
2026-05-16T01:50:00,BATCH-1006,GRAN-02,Metformin_500mg,2.75,NORMAL,4.0
2026-05-16T02:00:00,BATCH-1006,GRAN-02,Metformin_500mg,3.51,NORMAL,4.0
2026-05-16T02:10:00,BATCH-1006,GRAN-02,Metformin_500mg,3.53,NORMAL,4.0
2026-05-16T02:20:00,BATCH-1006,GRAN-02,Metformin_500mg,2.94,NORMAL,4.0
2026-05-16T02:30:00,BATCH-1006,GRAN-02,Metformin_500mg,4.46,DEVIATION,4.0
2026-05-16T02:40:00,BATCH-1006,GRAN-02,Metformin_500mg,2.36,NORMAL,4.0
