timestamp,batch_id,product,yield_pct,deviation_count,batch_status,oee_score,failure_mode
2026-05-12T20:00:00,BATCH-1001,Metformin_500mg,98.39,1,PASS,72.06,none
2026-05-12T21:00:00,BATCH-1002,Amlodipine_5mg,89.7,3,FAIL,75.74,none
2026-05-13T22:00:00,BATCH-1003,Atorvastatin_10mg,93.79,0,PASS,79.38,none
2026-05-13T23:00:00,BATCH-1004,Paracetamol_500mg,95.75,0,PASS,72.56,none
2026-05-15T00:00:00,BATCH-1005,Azithromycin_250mg,87.13,3,FAIL,88.72,none
2026-05-16T01:00:00,BATCH-1006,Metformin_500mg,95.93,2,PASS,90.77,none
2026-05-15T20:00:00,BATCH-1007,Amlodipine_5mg,94.54,0,PASS,75.35,none
2026-05-16T21:00:00,BATCH-1008,Atorvastatin_10mg,85.31,3,FAIL,84.82,none
2026-05-16T22:00:00,BATCH-1009,Paracetamol_500mg,92.6,1,PASS,78.6,none
2026-05-17T23:00:00,BATCH-1010,Azithromycin_250mg,97.06,2,PASS,87.61,none
2026-05-19T00:00:00,BATCH-1011,Metformin_500mg,85.79,24,FAIL,25.25,coating_thermostat_drift
2026-05-19T01:00:00,BATCH-1012,Amlodipine_5mg,98.59,2,PASS,89.31,moisture_excursion
2026-05-19T20:00:00,BATCH-1013,Atorvastatin_10mg,97.95,1,PASS,88.86,none
2026-05-19T21:00:00,BATCH-1014,Paracetamol_500mg,91.11,2,PASS,83.96,none
2026-05-20T22:00:00,BATCH-1015,Azithromycin_250mg,91.89,2,PASS,78.35,none
2026-05-21T23:00:00,BATCH-1016,Metformin_500mg,91.18,0,PASS,76.81,none
2026-05-22T00:00:00,BATCH-1017,Amlodipine_5mg,95.3,2,PASS,72.69,none
2026-05-23T01:00:00,BATCH-1018,Atorvastatin_10mg,95.19,0,PASS,77.95,none
2026-05-22T20:00:00,BATCH-1019,Paracetamol_500mg,94.86,1,PASS,86.79,none
2026-05-23T21:00:00,BATCH-1020,Azithromycin_250mg,92.13,0,PASS,88.07,none
2026-05-24T22:00:00,BATCH-1021,Metformin_500mg,91.15,1,PASS,83.41,none
2026-05-24T23:00:00,BATCH-1022,Amlodipine_5mg,96.31,0,PASS,73.0,none
2026-05-26T00:00:00,BATCH-1023,Atorvastatin_10mg,92.36,2,PASS,74.53,none
2026-05-26T01:00:00,BATCH-1024,Paracetamol_500mg,97.31,0,PASS,86.21,none
2026-05-26T20:00:00,BATCH-1025,Azithromycin_250mg,91.42,1,PASS,85.06,none
2026-05-27T21:00:00,BATCH-1026,Metformin_500mg,91.07,0,PASS,80.94,none
2026-05-27T22:00:00,BATCH-1027,Amlodipine_5mg,86.9,24,FAIL,43.6,coating_thermostat_drift
2026-05-28T23:00:00,BATCH-1028,Atorvastatin_10mg,96.28,1,PASS,89.88,none
2026-05-29T00:00:00,BATCH-1029,Paracetamol_500mg,91.15,2,PASS,87.95,none
2026-05-30T01:00:00,BATCH-1030,Azithromycin_250mg,96.2,1,PASS,75.32,none
2026-05-30T20:00:00,BATCH-1031,Metformin_500mg,87.66,4,FAIL,86.46,none
2026-05-30T21:00:00,BATCH-1032,Amlodipine_5mg,91.8,2,PASS,75.26,none
2026-05-31T22:00:00,BATCH-1033,Atorvastatin_10mg,97.93,0,PASS,84.23,none
2026-05-31T23:00:00,BATCH-1034,Paracetamol_500mg,92.49,2,PASS,79.51,none
2026-06-02T00:00:00,BATCH-1035,Azithromycin_250mg,94.66,1,PASS,91.31,none
2026-06-03T01:00:00,BATCH-1036,Metformin_500mg,91.17,1,PASS,75.69,none
2026-06-02T20:00:00,BATCH-1037,Amlodipine_5mg,95.24,1,PASS,77.67,none
2026-06-03T21:00:00,BATCH-1038,Atorvastatin_10mg,94.15,1,PASS,73.61,equipment_downtime_cascade
2026-06-03T22:00:00,BATCH-1039,Paracetamol_500mg,93.77,0,PASS,80.09,none
2026-06-04T23:00:00,BATCH-1040,Azithromycin_250mg,96.0,1,PASS,75.43,none
2026-06-06T00:00:00,BATCH-1041,Metformin_500mg,98.83,2,PASS,79.53,none
2026-06-06T01:00:00,BATCH-1042,Amlodipine_5mg,97.5,2,PASS,82.39,none
2026-06-06T20:00:00,BATCH-1043,Atorvastatin_10mg,98.03,1,PASS,90.48,none
2026-06-06T21:00:00,BATCH-1044,Paracetamol_500mg,97.52,0,PASS,72.68,none
2026-06-07T22:00:00,BATCH-1045,Azithromycin_250mg,95.44,1,PASS,76.44,none
2026-06-08T23:00:00,BATCH-1046,Metformin_500mg,92.21,2,PASS,88.64,none
2026-06-09T00:00:00,BATCH-1047,Amlodipine_5mg,96.26,1,PASS,72.02,none
2026-06-10T01:00:00,BATCH-1048,Atorvastatin_10mg,94.06,1,PASS,92.09,none
2026-06-09T20:00:00,BATCH-1049,Paracetamol_500mg,89.29,24,FAIL,38.39,coating_thermostat_drift
2026-06-10T21:00:00,BATCH-1050,Azithromycin_250mg,92.82,0,PASS,77.53,none
