timestamp,batch_id,equipment_id,product,temperature_C,status,gmp_lower_C,gmp_upper_C
2026-05-12T20:00:00,BATCH-1001,COAT-01,Metformin_500mg,40.13,NORMAL,40,45
2026-05-12T20:05:00,BATCH-1001,COAT-01,Metformin_500mg,41.12,NORMAL,40,45
2026-05-12T20:10:00,BATCH-1001,COAT-01,Metformin_500mg,43.38,NORMAL,40,45
2026-05-12T20:15:00,BATCH-1001,COAT-01,Metformin_500mg,40.43,NORMAL,40,45
2026-05-12T20:20:00,BATCH-1001,COAT-01,Metformin_500mg,40.15,NORMAL,40,45
2026-05-12T20:25:00,BATCH-1001,COAT-01,Metformin_500mg,42.53,NORMAL,40,45
2026-05-12T20:30:00,BATCH-1001,COAT-01,Metformin_500mg,46.8,DEVIATION,40,45
2026-05-12T20:35:00,BATCH-1001,COAT-01,Metformin_500mg,42.72,NORMAL,40,45
2026-05-12T20:40:00,BATCH-1001,COAT-01,Metformin_500mg,42.95,NORMAL,40,45
2026-05-12T20:45:00,BATCH-1001,COAT-01,Metformin_500mg,40.03,NORMAL,40,45
2026-05-12T20:50:00,BATCH-1001,COAT-01,Metformin_500mg,43.49,NORMAL,40,45
2026-05-12T20:55:00,BATCH-1001,COAT-01,Metformin_500mg,40.78,NORMAL,40,45
2026-05-12T21:00:00,BATCH-1001,COAT-01,Metformin_500mg,41.68,NORMAL,40,45
2026-05-12T21:05:00,BATCH-1001,COAT-01,Metformin_500mg,40.48,NORMAL,40,45
2026-05-12T21:10:00,BATCH-1001,COAT-01,Metformin_500mg,43.02,NORMAL,40,45
2026-05-12T21:15:00,BATCH-1001,COAT-01,Metformin_500mg,43.65,NORMAL,40,45
2026-05-12T21:20:00,BATCH-1001,COAT-01,Metformin_500mg,44.87,NORMAL,40,45
2026-05-12T21:25:00,BATCH-1001,COAT-01,Metformin_500mg,42.76,NORMAL,40,45
2026-05-12T21:30:00,BATCH-1001,COAT-01,Metformin_500mg,43.09,NORMAL,40,45
2026-05-12T21:35:00,BATCH-1001,COAT-01,Metformin_500mg,42.89,NORMAL,40,45
2026-05-12T21:40:00,BATCH-1001,COAT-01,Metformin_500mg,40.23,NORMAL,40,45
2026-05-12T21:45:00,BATCH-1001,COAT-01,Metformin_500mg,41.45,NORMAL,40,45
2026-05-12T21:50:00,BATCH-1001,COAT-01,Metformin_500mg,41.16,NORMAL,40,45
2026-05-12T21:55:00,BATCH-1001,COAT-01,Metformin_500mg,41.39,NORMAL,40,45
2026-05-12T22:00:00,BATCH-1001,COAT-01,Metformin_500mg,41.82,NORMAL,40,45
2026-05-12T22:05:00,BATCH-1001,COAT-01,Metformin_500mg,41.05,NORMAL,40,45
2026-05-12T22:10:00,BATCH-1001,COAT-01,Metformin_500mg,44.68,NORMAL,40,45
2026-05-12T22:15:00,BATCH-1001,COAT-01,Metformin_500mg,43.05,NORMAL,40,45
2026-05-12T22:20:00,BATCH-1001,COAT-01,Metformin_500mg,43.65,NORMAL,40,45
2026-05-12T22:25:00,BATCH-1001,COAT-01,Metformin_500mg,41.9,NORMAL,40,45
2026-05-12T22:30:00,BATCH-1001,COAT-01,Metformin_500mg,43.2,NORMAL,40,45
2026-05-12T22:35:00,BATCH-1001,COAT-01,Metformin_500mg,43.42,NORMAL,40,45
2026-05-12T22:40:00,BATCH-1001,COAT-01,Metformin_500mg,43.88,NORMAL,40,45
2026-05-12T22:45:00,BATCH-1001,COAT-01,Metformin_500mg,40.16,NORMAL,40,45
2026-05-12T22:50:00,BATCH-1001,COAT-01,Metformin_500mg,41.34,NORMAL,40,45
2026-05-12T22:55:00,BATCH-1001,COAT-01,Metformin_500mg,44.71,NORMAL,40,45
2026-05-12T21:00:00,BATCH-1002,COAT-02,Amlodipine_5mg,41.57,NORMAL,40,45
2026-05-12T21:05:00,BATCH-1002,COAT-02,Amlodipine_5mg,41.98,NORMAL,40,45
2026-05-12T21:10:00,BATCH-1002,COAT-02,Amlodipine_5mg,42.29,NORMAL,40,45
2026-05-12T21:15:00,BATCH-1002,COAT-02,Amlodipine_5mg,41.23,NORMAL,40,45
2026-05-12T21:20:00,BATCH-1002,COAT-02,Amlodipine_5mg,41.31,NORMAL,40,45
2026-05-12T21:25:00,BATCH-1002,COAT-02,Amlodipine_5mg,44.49,NORMAL,40,45
2026-05-12T21:30:00,BATCH-1002,COAT-02,Amlodipine_5mg,41.1,NORMAL,40,45
2026-05-12T21:35:00,BATCH-1002,COAT-02,Amlodipine_5mg,42.55,NORMAL,40,45
2026-05-12T21:40:00,BATCH-1002,COAT-02,Amlodipine_5mg,40.24,NORMAL,40,45
2026-05-12T21:45:00,BATCH-1002,COAT-02,Amlodipine_5mg,43.14,NORMAL,40,45
2026-05-12T21:50:00,BATCH-1002,COAT-02,Amlodipine_5mg,42.11,NORMAL,40,45
2026-05-12T21:55:00,BATCH-1002,COAT-02,Amlodipine_5mg,41.91,NORMAL,40,45
2026-05-12T22:00:00,BATCH-1002,COAT-02,Amlodipine_5mg,42.65,NORMAL,40,45
2026-05-12T22:05:00,BATCH-1002,COAT-02,Amlodipine_5mg,44.3,NORMAL,40,45
